inventory_id,product_id,warehouse_id,stock_on_hand,last_updated
195,485,8,543,2026-01-15
196,411,10,985,2026-01-15
197,348,8,324,2026-01-15
198,47,1,942,2026-01-15
199,4,6,768,2026-01-15
200,94,8,764,2026-01-15
201,228,10,632,2026-01-15
202,235,1,103,2026-01-15
203,354,7,252,2026-01-15
204,256,6,443,2026-01-15
205,260,10,845,2026-01-15
206,15,7,706,2026-01-15
207,365,8,634,2026-01-15
208,156,9,323,2026-01-15
209,368,8,805,2026-01-15
210,212,2,566,2026-01-15
211,163,5,653,2026-01-15
212,432,10,821,2026-01-15
213,306,8,184,2026-01-15
214,271,3,919,2026-01-15
215,416,2,536,2026-01-15
216,276,5,276,2026-01-15
217,182,10,924,2026-01-15
218,164,7,710,2026-01-15
219,40,8,560,2026-01-15
220,177,1,503,2026-01-15
221,91,5,449,2026-01-15
222,200,2,616,2026-01-15
223,437,8,72,2026-01-15
224,183,1,194,2026-01-15
225,394,9,455,2026-01-15
226,206,7,809,2026-01-15
227,196,1,555,2026-01-15
228,420,9,956,2026-01-15
229,433,3,109,2026-01-15
230,394,3,771,2026-01-15
231,81,10,398,2026-01-15
232,239,8,458,2026-01-15
233,364,8,417,2026-01-15
234,241,9,945,2026-01-15
235,336,2,54,2026-01-15
236,151,9,885,2026-01-15
237,472,9,244,2026-01-15
238,122,4,335,2026-01-15
239,226,7,260,2026-01-15
240,277,5,669,2026-01-15
241,236,1,715,2026-01-15
242,360,6,702,2026-01-15
243,472,8,85,2026-01-15
244,20,5,415,2026-01-15
245,260,7,433,2026-01-15
246,24,4,590,2026-01-15
247,431,6,893,2026-01-15
248,31,7,939,2026-01-15
249,445,10,759,2026-01-15
250,423,10,339,2026-01-15
251,279,7,867,2026-01-15
252,320,5,224,2026-01-15
253,385,5,161,2026-01-15
254,84,9,22,2026-01-15
255,67,5,65,2026-01-15
256,369,4,133,2026-01-15
257,15,7,280,2026-01-15
258,317,3,283,2026-01-15
259,122,2,158,2026-01-15
260,445,7,447,2026-01-15
261,366,4,83,2026-01-15
262,374,3,265,2026-01-15
263,267,10,262,2026-01-15
264,300,2,714,2026-01-15
265,5,10,901,2026-01-15
266,214,10,274,2026-01-15
267,454,7,646,2026-01-15
268,40,1,157,2026-01-15
269,466,2,936,2026-01-15
270,56,4,666,2026-01-15
271,383,10,618,2026-01-15
272,313,8,1000,2026-01-15
273,471,5,946,2026-01-15
274,292,4,140,2026-01-15
275,396,5,89,2026-01-15
276,437,3,895,2026-01-15
277,91,1,187,2026-01-15
278,372,6,918,2026-01-15
279,434,2,115,2026-01-15
280,392,2,833,2026-01-15
281,270,3,762,2026-01-15
282,192,3,545,2026-01-15
283,425,3,366,2026-01-15
284,12,9,397,2026-01-15
285,322,6,879,2026-01-15
286,306,7,943,2026-01-15
287,72,4,113,2026-01-15
288,305,4,460,2026-01-15
289,477,3,433,2026-01-15
290,417,6,624,2026-01-15
291,51,8,478,2026-01-15
292,54,4,198,2026-01-15
293,75,1,392,2026-01-15
294,448,9,686,2026-01-15
295,224,4,883,2026-01-15
296,218,7,873,2026-01-15
297,425,4,394,2026-01-15
298,234,7,821,2026-01-15
299,479,7,713,2026-01-15
300,128,3,204,2026-01-15
301,108,6,788,2026-01-15
302,6,2,661,2026-01-15
303,181,2,784,2026-01-15
304,14,7,370,2026-01-15
305,482,3,234,2026-01-15
306,239,7,802,2026-01-15
307,286,4,985,2026-01-15
308,282,9,570,2026-01-15
309,262,10,100,2026-01-15
310,238,8,274,2026-01-15
311,332,2,8,2026-01-15
312,179,5,727,2026-01-15
313,402,5,591,2026-01-15
314,423,4,150,2026-01-15
315,307,1,314,2026-01-15
316,192,5,100,2026-01-15
317,491,9,27,2026-01-15
318,115,6,438,2026-01-15
319,366,10,897,2026-01-15
320,273,6,335,2026-01-15
321,395,2,775,2026-01-15
322,272,9,851,2026-01-15
323,225,7,764,2026-01-15
324,435,6,547,2026-01-15
325,344,1,835,2026-01-15
326,358,4,105,2026-01-15
327,259,10,251,2026-01-15
328,73,2,82,2026-01-15
329,37,5,388,2026-01-15
330,310,7,19,2026-01-15
331,146,5,377,2026-01-15
332,414,10,111,2026-01-15
333,100,7,964,2026-01-15
334,103,3,383,2026-01-15
335,223,9,493,2026-01-15
336,229,9,350,2026-01-15
337,260,8,400,2026-01-15
338,232,6,647,2026-01-15
339,207,7,948,2026-01-15
340,150,9,331,2026-01-15
341,476,6,295,2026-01-15
342,265,4,472,2026-01-15
343,66,1,143,2026-01-15
344,112,8,235,2026-01-15
345,278,6,978,2026-01-15
346,327,5,132,2026-01-15
347,438,7,913,2026-01-15
348,342,2,968,2026-01-15
349,166,2,448,2026-01-15
350,481,9,290,2026-01-15
351,199,5,972,2026-01-15
352,386,7,36,2026-01-15
353,399,5,618,2026-01-15
354,254,4,135,2026-01-15
355,483,5,785,2026-01-15
356,356,4,680,2026-01-15
357,300,6,321,2026-01-15
358,242,6,345,2026-01-15
359,435,3,588,2026-01-15
360,456,2,81,2026-01-15
361,373,4,913,2026-01-15
362,20,10,105,2026-01-15
363,98,1,673,2026-01-15
364,54,5,483,2026-01-15
365,31,2,718,2026-01-15
366,408,1,246,2026-01-15
367,375,6,139,2026-01-15
368,225,3,406,2026-01-15
369,359,2,905,2026-01-15
370,24,2,0,2026-01-15
371,282,8,344,2026-01-15
372,399,5,918,2026-01-15
373,486,10,103,2026-01-15
374,167,5,741,2026-01-15
375,170,6,890,2026-01-15
376,284,8,727,2026-01-15
377,342,3,817,2026-01-15
378,473,5,688,2026-01-15
379,246,2,839,2026-01-15
380,380,1,699,2026-01-15
381,277,5,572,2026-01-15
382,455,5,979,2026-01-15
383,244,1,179,2026-01-15
384,371,1,257,2026-01-15
385,51,9,390,2026-01-15
386,61,9,722,2026-01-15
387,428,7,222,2026-01-15
388,280,4,934,2026-01-15
389,413,3,613,2026-01-15
390,484,9,730,2026-01-15
391,149,8,104,2026-01-15
392,92,10,624,2026-01-15
393,223,1,879,2026-01-15
394,204,9,485,2026-01-15
395,439,7,746,2026-01-15
396,145,10,798,2026-01-15
397,303,8,755,2026-01-15
398,443,8,622,2026-01-15
399,8,9,858,2026-01-15
400,296,5,138,2026-01-15
401,13,2,726,2026-01-15
402,361,4,520,2026-01-15
403,429,7,939,2026-01-15
404,127,5,443,2026-01-15
405,418,4,60,2026-01-15
406,84,4,478,2026-01-15
407,409,10,262,2026-01-15
408,204,8,287,2026-01-15
409,404,8,397,2026-01-15
410,22,4,531,2026-01-15
411,179,5,839,2026-01-15
412,327,10,593,2026-01-15
413,328,10,940,2026-01-15
414,207,3,221,2026-01-15
415,368,5,192,2026-01-15
416,36,9,611,2026-01-15
417,12,8,779,2026-01-15
418,169,1,180,2026-01-15
419,457,10,862,2026-01-15
420,485,1,13,2026-01-15
421,383,3,805,2026-01-15
422,124,9,469,2026-01-15
423,165,5,984,2026-01-15
424,409,5,937,2026-01-15
425,420,7,734,2026-01-15
426,91,6,51,2026-01-15
427,458,3,880,2026-01-15
428,52,3,461,2026-01-15
429,91,9,3,2026-01-15
430,218,7,786,2026-01-15
431,174,5,870,2026-01-15
432,489,3,565,2026-01-15
433,5,1,58,2026-01-15
434,190,3,340,2026-01-15
435,215,4,518,2026-01-15
436,235,2,441,2026-01-15
437,160,2,439,2026-01-15
438,357,3,535,2026-01-15
439,185,3,32,2026-01-15
440,196,9,702,2026-01-15
441,201,2,71,2026-01-15
442,116,8,993,2026-01-15
443,385,8,0,2026-01-15
444,158,4,634,2026-01-15
445,360,6,371,2026-01-15
446,173,9,452,2026-01-15
447,435,3,196,2026-01-15
448,200,5,849,2026-01-15
449,121,8,133,2026-01-15
450,182,1,587,2026-01-15
451,443,5,198,2026-01-15
452,330,10,572,2026-01-15
453,91,5,543,2026-01-15
454,427,5,809,2026-01-15
455,54,6,924,2026-01-15
456,175,3,402,2026-01-15
457,372,2,791,2026-01-15
458,82,4,366,2026-01-15
459,26,9,547,2026-01-15
460,149,2,948,2026-01-15
461,151,2,287,2026-01-15
462,50,7,640,2026-01-15
463,162,4,669,2026-01-15
464,491,1,51,2026-01-15
465,158,2,812,2026-01-15
466,428,2,233,2026-01-15
467,254,9,922,2026-01-15
468,438,8,208,2026-01-15
469,256,5,449,2026-01-15
470,345,5,3,2026-01-15
471,466,3,960,2026-01-15
472,493,2,720,2026-01-15
473,381,3,919,2026-01-15
474,37,6,881,2026-01-15
475,250,6,352,2026-01-15
476,276,1,40,2026-01-15
477,214,4,265,2026-01-15
478,215,10,22,2026-01-15
479,103,10,3,2026-01-15
480,476,5,917,2026-01-15
481,112,3,691,2026-01-15
482,407,2,167,2026-01-15
483,12,7,260,2026-01-15
484,183,4,913,2026-01-15
485,495,10,824,2026-01-15
486,397,4,350,2026-01-15
487,256,9,110,2026-01-15
488,2,7,0,2026-01-15
489,178,9,734,2026-01-15
490,191,3,774,2026-01-15
491,121,5,693,2026-01-15
492,98,6,559,2026-01-15
493,93,4,51,2026-01-15
494,202,1,985,2026-01-15
495,245,5,568,2026-01-15
496,330,8,122,2026-01-15
497,254,7,602,2026-01-15
498,115,4,77,2026-01-15
499,304,8,826,2026-01-15
500,57,2,93,2026-01-15
501,138,6,336,2026-01-15
502,134,10,794,2026-01-15
503,445,1,502,2026-01-15
504,48,3,154,2026-01-15
505,41,1,636,2026-01-15
506,175,7,785,2026-01-15
507,232,6,83,2026-01-15
508,338,10,426,2026-01-15
509,397,6,355,2026-01-15
510,138,3,940,2026-01-15
511,359,1,688,2026-01-15
512,112,8,553,2026-01-15
513,151,5,268,2026-01-15
514,452,7,242,2026-01-15
515,429,7,77,2026-01-15
516,23,6,938,2026-01-15
517,361,1,239,2026-01-15
518,157,8,892,2026-01-15
519,46,10,649,2026-01-15
520,309,3,814,2026-01-15
521,175,3,709,2026-01-15
522,56,1,911,2026-01-15
523,356,3,572,2026-01-15
524,373,1,71,2026-01-15
525,362,5,21,2026-01-15
526,205,4,408,2026-01-15
527,117,3,126,2026-01-15
528,411,5,859,2026-01-15
529,446,9,949,2026-01-15
530,20,3,288,2026-01-15
531,60,8,961,2026-01-15
532,11,4,975,2026-01-15
533,268,3,37,2026-01-15
534,36,10,67,2026-01-15
535,432,7,295,2026-01-15
536,389,5,195,2026-01-15
537,236,10,601,2026-01-15
538,176,3,147,2026-01-15
539,374,6,325,2026-01-15
540,346,3,518,2026-01-15
541,124,4,781,2026-01-15
542,414,3,473,2026-01-15
543,386,3,365,2026-01-15
544,496,2,341,2026-01-15
545,11,5,642,2026-01-15
546,252,1,396,2026-01-15
547,129,3,222,2026-01-15
548,34,7,363,2026-01-15
549,406,4,627,2026-01-15
550,377,6,648,2026-01-15
551,448,3,580,2026-01-15
552,191,3,321,2026-01-15
553,156,3,774,2026-01-15
554,286,10,249,2026-01-15
555,392,5,808,2026-01-15
556,339,7,372,2026-01-15
557,248,5,147,2026-01-15
558,442,8,350,2026-01-15
559,202,3,32,2026-01-15
560,36,5,918,2026-01-15
561,474,5,571,2026-01-15
562,420,10,180,2026-01-15
563,424,9,278,2026-01-15
564,323,9,971,2026-01-15
565,239,1,221,2026-01-15
566,366,8,143,2026-01-15
567,459,1,797,2026-01-15
568,228,6,682,2026-01-15
569,345,6,386,2026-01-15
570,61,10,401,2026-01-15
571,370,4,425,2026-01-15
572,49,6,73,2026-01-15
573,337,3,515,2026-01-15
574,477,4,640,2026-01-15
575,55,9,55,2026-01-15
576,495,8,785,2026-01-15
577,147,4,726,2026-01-15
578,171,5,367,2026-01-15
579,166,6,771,2026-01-15
580,434,6,469,2026-01-15
581,76,7,479,2026-01-15
582,130,8,988,2026-01-15
583,499,8,237,2026-01-15
584,251,8,596,2026-01-15
585,61,7,852,2026-01-15
586,158,2,606,2026-01-15
587,23,1,919,2026-01-15
588,29,7,307,2026-01-15
589,183,10,799,2026-01-15
590,245,4,478,2026-01-15
591,276,3,875,2026-01-15
592,341,8,864,2026-01-15
593,3,10,206,2026-01-15
594,85,6,561,2026-01-15
595,374,8,173,2026-01-15
596,350,8,810,2026-01-15
597,130,4,747,2026-01-15
598,441,8,836,2026-01-15
599,198,8,443,2026-01-15
600,438,3,797,2026-01-15
601,111,5,257,2026-01-15
602,491,4,795,2026-01-15
603,491,6,503,2026-01-15
604,360,3,144,2026-01-15
605,490,10,746,2026-01-15
606,297,6,370,2026-01-15
607,269,8,695,2026-01-15
608,293,4,396,2026-01-15
609,159,9,689,2026-01-15
610,134,10,534,2026-01-15
611,141,8,209,2026-01-15
612,490,10,234,2026-01-15
613,379,9,3,2026-01-15
614,382,5,666,2026-01-15
615,497,9,733,2026-01-15
616,478,1,302,2026-01-15
617,426,2,544,2026-01-15
618,472,1,174,2026-01-15
619,351,10,38,2026-01-15
620,104,2,675,2026-01-15
621,412,3,602,2026-01-15
622,442,5,388,2026-01-15
623,18,7,580,2026-01-15
624,243,2,971,2026-01-15
625,384,9,590,2026-01-15
626,416,7,197,2026-01-15
627,92,8,465,2026-01-15
628,219,4,498,2026-01-15
629,300,9,986,2026-01-15
630,190,7,829,2026-01-15
631,135,5,706,2026-01-15
632,376,2,909,2026-01-15
633,161,1,476,2026-01-15
634,281,4,754,2026-01-15
635,17,6,506,2026-01-15
636,48,3,60,2026-01-15
637,67,2,578,2026-01-15
638,161,1,944,2026-01-15
639,41,1,909,2026-01-15
640,226,5,432,2026-01-15
641,424,7,121,2026-01-15
642,428,1,954,2026-01-15
643,60,6,162,2026-01-15
644,297,3,67,2026-01-15
645,425,5,904,2026-01-15
646,387,4,553,2026-01-15
647,314,5,467,2026-01-15
648,249,6,159,2026-01-15
649,50,7,865,2026-01-15
650,188,7,942,2026-01-15
651,232,2,156,2026-01-15
652,93,2,800,2026-01-15
653,104,8,691,2026-01-15
654,212,5,40,2026-01-15
655,362,5,388,2026-01-15
656,274,8,367,2026-01-15
657,493,5,661,2026-01-15
658,133,9,400,2026-01-15
659,328,4,528,2026-01-15
660,28,4,208,2026-01-15
661,88,8,466,2026-01-15
662,444,4,600,2026-01-15
663,140,8,705,2026-01-15
664,474,5,872,2026-01-15
665,264,9,217,2026-01-15
666,405,3,244,2026-01-15
667,481,9,762,2026-01-15
668,167,10,359,2026-01-15
669,50,10,829,2026-01-15
670,445,4,683,2026-01-15
671,315,6,957,2026-01-15
672,15,9,1,2026-01-15
673,470,5,683,2026-01-15
674,305,3,964,2026-01-15
675,297,9,947,2026-01-15
676,9,3,38,2026-01-15
677,356,1,571,2026-01-15
678,56,8,476,2026-01-15
679,209,6,969,2026-01-15
680,314,10,725,2026-01-15
681,308,8,314,2026-01-15
682,460,1,849,2026-01-15
683,229,6,197,2026-01-15
684,325,10,982,2026-01-15
685,466,9,854,2026-01-15
686,290,1,582,2026-01-15
687,144,4,741,2026-01-15
688,293,8,327,2026-01-15
689,463,5,718,2026-01-15
690,376,3,523,2026-01-15
691,57,3,690,2026-01-15
692,186,9,67,2026-01-15
693,415,8,957,2026-01-15
694,6,8,952,2026-01-15
695,377,8,7,2026-01-15
696,410,3,907,2026-01-15
697,206,2,800,2026-01-15
698,191,3,723,2026-01-15
699,359,5,457,2026-01-15
700,142,9,120,2026-01-15
701,176,7,796,2026-01-15
702,13,7,744,2026-01-15
703,341,8,558,2026-01-15
704,371,8,830,2026-01-15
705,171,3,721,2026-01-15
706,222,10,309,2026-01-15
707,405,2,477,2026-01-15
708,111,9,300,2026-01-15
709,315,4,136,2026-01-15
710,85,5,415,2026-01-15
711,2,9,435,2026-01-15
712,171,10,921,2026-01-15
713,463,2,58,2026-01-15
714,296,4,565,2026-01-15
715,426,6,250,2026-01-15
716,452,7,73,2026-01-15
717,293,6,167,2026-01-15
718,420,8,828,2026-01-15
719,205,7,194,2026-01-15
720,431,6,653,2026-01-15
721,255,5,367,2026-01-15
722,302,8,840,2026-01-15
723,333,3,126,2026-01-15
724,442,3,987,2026-01-15
725,47,2,962,2026-01-15
726,357,3,241,2026-01-15
727,13,10,387,2026-01-15
728,18,5,237,2026-01-15
729,343,2,536,2026-01-15
730,479,2,165,2026-01-15
731,37,2,381,2026-01-15
732,262,7,261,2026-01-15
733,143,3,658,2026-01-15
734,163,6,863,2026-01-15
735,306,2,725,2026-01-15
736,166,1,315,2026-01-15
737,387,6,888,2026-01-15
738,283,2,178,2026-01-15
739,491,4,664,2026-01-15
740,484,8,896,2026-01-15
741,300,8,977,2026-01-15
742,217,2,827,2026-01-15
743,318,3,184,2026-01-15
744,385,1,367,2026-01-15
745,421,9,797,2026-01-15
746,291,3,105,2026-01-15
747,266,1,158,2026-01-15
748,101,5,84,2026-01-15
749,246,4,509,2026-01-15
750,308,1,797,2026-01-15
751,352,9,611,2026-01-15
752,483,5,6,2026-01-15
753,153,8,391,2026-01-15
754,53,3,857,2026-01-15
755,184,9,489,2026-01-15
756,7,1,207,2026-01-15
757,386,4,432,2026-01-15
758,84,3,622,2026-01-15
759,194,1,315,2026-01-15
760,251,10,128,2026-01-15
761,417,1,56,2026-01-15
762,141,10,788,2026-01-15
763,352,1,806,2026-01-15
764,248,9,917,2026-01-15
765,152,8,348,2026-01-15
766,168,1,774,2026-01-15
767,173,3,636,2026-01-15
768,317,10,165,2026-01-15
769,378,9,701,2026-01-15
770,149,10,969,2026-01-15
771,87,8,159,2026-01-15
772,157,5,767,2026-01-15
773,464,2,236,2026-01-15
774,429,4,422,2026-01-15
775,459,1,70,2026-01-15
776,317,8,875,2026-01-15
777,153,8,159,2026-01-15
778,113,4,995,2026-01-15
779,167,9,739,2026-01-15
780,392,8,600,2026-01-15
781,65,4,688,2026-01-15
782,243,4,216,2026-01-15
783,231,7,229,2026-01-15
784,42,6,910,2026-01-15
785,50,10,160,2026-01-15
786,402,10,608,2026-01-15
787,294,10,25,2026-01-15
788,179,9,185,2026-01-15
789,482,10,321,2026-01-15
790,184,8,249,2026-01-15
791,85,10,286,2026-01-15
792,8,5,79,2026-01-15
793,500,7,836,2026-01-15
794,244,1,417,2026-01-15
795,488,3,398,2026-01-15
796,479,10,110,2026-01-15
797,94,7,837,2026-01-15
798,101,6,800,2026-01-15
799,432,3,977,2026-01-15
800,285,4,298,2026-01-15
801,398,7,615,2026-01-15
802,473,1,205,2026-01-15
803,261,2,472,2026-01-15
804,163,3,729,2026-01-15
805,35,4,252,2026-01-15
806,105,9,62,2026-01-15
807,154,8,148,2026-01-15
808,186,1,401,2026-01-15
809,363,6,828,2026-01-15
810,212,7,74,2026-01-15
811,82,10,446,2026-01-15
812,243,2,278,2026-01-15
813,264,6,760,2026-01-15
814,59,8,500,2026-01-15
815,294,8,529,2026-01-15
816,256,10,835,2026-01-15
817,466,6,707,2026-01-15
818,325,7,191,2026-01-15
819,261,10,283,2026-01-15
820,331,10,696,2026-01-15
821,187,4,867,2026-01-15
822,366,3,389,2026-01-15
823,221,2,400,2026-01-15
824,386,10,691,2026-01-15
825,377,4,552,2026-01-15
826,165,8,939,2026-01-15
827,417,8,754,2026-01-15
828,500,2,502,2026-01-15
829,420,2,212,2026-01-15
830,410,3,26,2026-01-15
831,160,8,162,2026-01-15
832,208,10,197,2026-01-15
833,437,10,618,2026-01-15
834,350,4,683,2026-01-15
835,94,3,141,2026-01-15
836,484,10,71,2026-01-15
837,391,6,179,2026-01-15
838,336,9,461,2026-01-15
839,335,8,145,2026-01-15
840,340,2,365,2026-01-15
841,117,9,95,2026-01-15
842,452,6,622,2026-01-15
843,57,10,385,2026-01-15
844,32,7,546,2026-01-15
845,499,9,428,2026-01-15
846,170,2,871,2026-01-15
847,9,8,874,2026-01-15
848,190,8,489,2026-01-15
849,383,7,706,2026-01-15
850,52,1,160,2026-01-15
851,389,5,18,2026-01-15
852,4,6,743,2026-01-15
853,315,4,850,2026-01-15
854,253,9,563,2026-01-15
855,426,10,406,2026-01-15
856,479,8,861,2026-01-15
857,8,5,886,2026-01-15
858,411,1,310,2026-01-15
859,199,5,520,2026-01-15
860,57,1,604,2026-01-15
861,301,9,407,2026-01-15
862,152,5,486,2026-01-15
863,346,6,493,2026-01-15
864,318,5,445,2026-01-15
865,29,9,806,2026-01-15
866,255,8,256,2026-01-15
867,293,6,107,2026-01-15
868,157,9,80,2026-01-15
869,251,9,767,2026-01-15
870,16,10,223,2026-01-15
871,122,4,294,2026-01-15
872,438,3,967,2026-01-15
873,449,4,791,2026-01-15
874,316,1,784,2026-01-15
875,334,6,932,2026-01-15
876,232,7,742,2026-01-15
877,320,5,963,2026-01-15
878,482,9,646,2026-01-15
879,265,5,71,2026-01-15
880,248,3,186,2026-01-15
881,376,9,891,2026-01-15
882,24,4,359,2026-01-15
883,174,9,736,2026-01-15
884,19,9,817,2026-01-15
885,264,10,665,2026-01-15
886,56,1,940,2026-01-15
887,420,10,880,2026-01-15
888,261,5,101,2026-01-15
889,27,1,773,2026-01-15
890,409,9,639,2026-01-15
891,103,2,352,2026-01-15
892,140,4,645,2026-01-15
893,380,2,280,2026-01-15
894,161,1,875,2026-01-15
895,185,5,846,2026-01-15
896,90,3,155,2026-01-15
897,358,7,823,2026-01-15
898,91,6,35,2026-01-15
899,496,9,40,2026-01-15
900,422,1,693,2026-01-15
901,294,7,117,2026-01-15
902,208,6,871,2026-01-15
903,26,6,960,2026-01-15
904,252,3,5,2026-01-15
905,388,5,63,2026-01-15
906,371,9,424,2026-01-15
907,203,8,947,2026-01-15
908,106,6,502,2026-01-15
909,351,4,668,2026-01-15
910,303,6,643,2026-01-15
911,3,2,764,2026-01-15
912,93,7,831,2026-01-15
913,445,10,95,2026-01-15
914,432,3,8,2026-01-15
915,26,4,648,2026-01-15
916,387,4,161,2026-01-15
917,202,3,264,2026-01-15
918,467,1,647,2026-01-15
919,60,1,275,2026-01-15
920,442,9,283,2026-01-15
921,397,2,791,2026-01-15
922,362,3,253,2026-01-15
923,343,1,35,2026-01-15
924,338,1,813,2026-01-15
925,274,9,979,2026-01-15
926,409,2,503,2026-01-15
927,176,9,537,2026-01-15
928,155,1,982,2026-01-15
929,389,1,775,2026-01-15
